x,y,z,HR,T
61.7,27,1.75,0.811673,296.777
61.7,14,1.75,0.903007,295.363
49.7,5.8,1.75,0.893219,295.456
43.4,7.1,1.75,0.913974,295.261
31.4,4.8,1.05,0.906545,295.23
53.45,6.65,1.05,0.899819,295.393
43.5,4.25,1.05,0.911323,295.303
31.4,4.8,1.75,0.907402,295.287
53.45,6.65,1.75,0.898372,295.4
43.5,4.25,1.75,0.906605,295.343
31.4,4.8,2.8,0.90764,295.361
53.45,6.65,2.8,0.886313,295.478
43.5,4.25,2.8,0.900493,295.407
53.45,6.65,4.2,0.843853,296.078
43.5,4.25,4.2,0.853311,295.816
47.7,10.9,4.2,0.996858,293.803
50.5,11.8,4.2,1.01886,293.335
53.45,6.65,4.55,0.841207,296.113
43.5,4.25,4.55,0.840615,295.979
47.7,10.9,4.55,0.853621,296.533
50.5,11.8,4.55,1.01078,293.459
43.1,6.7,4.55,0.859317,296.29
