x,y,z,HR,T
61.7,27,1.75,0.882667,287.652
61.7,14,1.75,0.871982,285.717
49.7,5.8,1.75,0.867197,284.356
43.4,7.1,1.75,0.852187,285.453
31.4,4.8,1.05,0.84618,285.321
53.45,6.65,1.05,0.890663,285.436
43.5,4.25,1.05,0.852013,285.307
31.4,4.8,1.75,0.843996,285.352
53.45,6.65,1.75,0.897978,285.374
43.5,4.25,1.75,0.839757,285.499
31.4,4.8,2.8,0.839493,285.417
53.45,6.65,2.8,0.961367,283.864
43.5,4.25,2.8,0.830827,285.749
53.45,6.65,4.2,0.915175,287.138
43.5,4.25,4.2,0.878802,287.634
47.7,10.9,4.2,0.87726,287.427
50.5,11.8,4.2,0.840082,291.104
53.45,6.65,4.55,0.911275,287.248
43.5,4.25,4.55,0.867612,287.823
47.7,10.9,4.55,0.847477,288.67
50.5,11.8,4.55,0.836641,291.3
43.1,6.7,4.55,0.849332,288.172
