x,y,z,HR,T
61.7,27,1.75,0.881497,287.795
61.7,14,1.75,0.823926,285.776
49.7,5.8,1.75,0.851298,285.011
43.4,7.1,1.75,0.823912,285.739
31.4,4.8,1.05,0.827986,285.345
53.45,6.65,1.05,0.830373,285.663
43.5,4.25,1.05,0.836141,284.967
31.4,4.8,1.75,0.825813,285.362
53.45,6.65,1.75,0.833497,285.618
43.5,4.25,1.75,0.827157,284.726
31.4,4.8,2.8,0.824044,285.392
53.45,6.65,2.8,0.947843,283.139
43.5,4.25,2.8,0.820055,285.222
53.45,6.65,4.2,0.856607,288.176
43.5,4.25,4.2,0.813535,289.031
47.7,10.9,4.2,0.778379,291.674
50.5,11.8,4.2,0.80656,291.662
53.45,6.65,4.55,0.841707,288.465
43.5,4.25,4.55,0.807451,289.154
47.7,10.9,4.55,0.740303,291.768
50.5,11.8,4.55,0.805745,291.433
43.1,6.7,4.55,0.787181,289.664
