x,y,z,HR,T
61.7,27,1.75,0.85297,289.858
61.7,14,1.75,0.827698,289.673
49.7,5.8,1.75,0.794028,289.644
43.4,7.1,1.75,0.793371,289.769
31.4,4.8,1.05,0.769459,290.131
53.45,6.65,1.05,0.813643,289.337
43.5,4.25,1.05,0.794912,289.584
31.4,4.8,1.75,0.752541,290.515
53.45,6.65,1.75,0.805919,289.487
43.5,4.25,1.75,0.782287,289.833
31.4,4.8,2.8,0.736672,290.859
53.45,6.65,2.8,0.662463,292.56
43.5,4.25,2.8,0.747028,290.621
53.45,6.65,4.2,0.675324,292.358
43.5,4.25,4.2,0.728965,290.971
47.7,10.9,4.2,0.694933,293.311
50.5,11.8,4.2,0.870101,291.839
53.45,6.65,4.55,0.676849,292.329
43.5,4.25,4.55,0.681044,291.89
47.7,10.9,4.55,0.646353,294.253
50.5,11.8,4.55,0.875779,291.897
43.1,6.7,4.55,0.695796,291.914
