x,y,z,HR,T
61.7,27,1.75,0.896955,287.549
61.7,14,1.75,0.952892,286.691
49.7,5.8,1.75,0.956982,286.55
43.4,7.1,1.75,0.964942,286.531
31.4,4.8,1.05,0.981336,286.281
53.45,6.65,1.05,0.939871,286.564
43.5,4.25,1.05,0.975366,286.36
31.4,4.8,1.75,0.970355,286.45
53.45,6.65,1.75,0.927886,286.674
43.5,4.25,1.75,0.962231,286.565
31.4,4.8,2.8,0.955176,286.694
53.45,6.65,2.8,0.932576,287.019
43.5,4.25,2.8,0.953934,286.703
53.45,6.65,4.2,0.918744,287.287
43.5,4.25,4.2,0.896528,287.789
47.7,10.9,4.2,0.900818,287.788
50.5,11.8,4.2,0.824125,291.364
53.45,6.65,4.55,0.910528,287.485
43.5,4.25,4.55,0.892813,287.851
47.7,10.9,4.55,0.839668,289.78
50.5,11.8,4.55,0.81983,291.687
43.1,6.7,4.55,0.865621,288.577
