x,y,z,HR,T
61.7,27,1.75,0.830743,293.792
61.7,14,1.75,0.893591,292.504
49.7,5.8,1.75,0.897398,292.537
43.4,7.1,1.75,0.908803,292.484
31.4,4.8,1.05,0.926669,292.335
53.45,6.65,1.05,0.913726,292.384
43.5,4.25,1.05,0.911678,292.399
31.4,4.8,1.75,0.920147,292.422
53.45,6.65,1.75,0.894222,292.558
43.5,4.25,1.75,0.900021,292.51
31.4,4.8,2.8,0.91471,292.533
53.45,6.65,2.8,0.888405,292.65
43.5,4.25,2.8,0.895681,292.547
53.45,6.65,4.2,0.871836,292.972
43.5,4.25,4.2,0.875105,292.896
47.7,10.9,4.2,0.891021,292.84
50.5,11.8,4.2,0.975823,292.561
53.45,6.65,4.55,0.87154,292.979
43.5,4.25,4.55,0.872269,292.949
47.7,10.9,4.55,0.88016,292.907
50.5,11.8,4.55,0.976644,292.625
43.1,6.7,4.55,0.870402,293.01
