x,y,z,HR,T
61.7,27,1.75,0.837861,293.567
61.7,14,1.75,0.722378,292.4
49.7,5.8,1.75,0.718458,292.453
43.4,7.1,1.75,0.723244,292.601
31.4,4.8,1.05,0.694903,292.334
53.45,6.65,1.05,0.718984,292.419
43.5,4.25,1.05,0.711583,292.435
31.4,4.8,1.75,0.694586,292.363
53.45,6.65,1.75,0.719528,292.438
43.5,4.25,1.75,0.682605,292.379
31.4,4.8,2.8,0.695805,292.367
53.45,6.65,2.8,0.662375,292.189
43.5,4.25,2.8,0.653772,292.35
53.45,6.65,4.2,0.795365,293.389
43.5,4.25,4.2,0.730338,292.624
47.7,10.9,4.2,0.906276,293.123
50.5,11.8,4.2,0.929198,292.834
53.45,6.65,4.55,0.793611,293.408
43.5,4.25,4.55,0.773506,292.921
47.7,10.9,4.55,0.80689,294.347
50.5,11.8,4.55,0.929249,292.784
43.1,6.7,4.55,0.77334,293.66
