x,y,z,HR,T
61.7,27,1.75,0.856451,289.697
61.7,14,1.75,0.927974,287.216
49.7,5.8,1.75,0.931647,287.165
43.4,7.1,1.75,0.935069,287.116
31.4,4.8,1.05,0.961327,286.596
53.45,6.65,1.05,0.935345,287.085
43.5,4.25,1.05,0.941454,286.966
31.4,4.8,1.75,0.943329,286.912
53.45,6.65,1.75,0.916467,287.447
43.5,4.25,1.75,0.930997,287.183
31.4,4.8,2.8,0.921035,287.348
53.45,6.65,2.8,0.883668,287.871
43.5,4.25,2.8,0.919041,287.384
53.45,6.65,4.2,0.897402,288.045
43.5,4.25,4.2,0.874139,288.474
47.7,10.9,4.2,0.886592,288.407
50.5,11.8,4.2,0.821826,291.367
53.45,6.65,4.55,0.898129,288.027
43.5,4.25,4.55,0.871077,288.512
47.7,10.9,4.55,0.848296,289.444
50.5,11.8,4.55,0.817468,291.687
43.1,6.7,4.55,0.853038,289.056
