x,y,z,HR,T
61.7,27,1.75,0.880791,287.811
61.7,14,1.75,0.796285,286.415
49.7,5.8,1.75,0.788827,286.143
43.4,7.1,1.75,0.791599,286.497
31.4,4.8,1.05,0.767794,286.072
53.45,6.65,1.05,0.790814,286.269
43.5,4.25,1.05,0.77788,286.054
31.4,4.8,1.75,0.769011,286.083
53.45,6.65,1.75,0.790686,286.303
43.5,4.25,1.75,0.763653,285.899
31.4,4.8,2.8,0.769701,286.074
53.45,6.65,2.8,0.809647,284.999
43.5,4.25,2.8,0.74421,285.861
53.45,6.65,4.2,0.831011,288.32
43.5,4.25,4.2,0.810413,289.064
47.7,10.9,4.2,0.78413,291.463
50.5,11.8,4.2,0.824347,291.059
53.45,6.65,4.55,0.817465,288.636
43.5,4.25,4.55,0.806502,289.151
47.7,10.9,4.55,0.740265,291.866
50.5,11.8,4.55,0.815603,291.38
43.1,6.7,4.55,0.78056,289.786
