x,y,z,HR,T
61.7,27,1.75,0.830317,293.804
61.7,14,1.75,0.887685,292.758
49.7,5.8,1.75,0.896906,292.724
43.4,7.1,1.75,0.9005,292.669
31.4,4.8,1.05,0.91356,292.468
53.45,6.65,1.05,0.87839,292.567
43.5,4.25,1.05,0.912667,292.525
31.4,4.8,1.75,0.90854,292.555
53.45,6.65,1.75,0.864223,292.8
43.5,4.25,1.75,0.908013,292.64
31.4,4.8,2.8,0.898085,292.734
53.45,6.65,2.8,0.878671,292.941
43.5,4.25,2.8,0.893408,292.918
53.45,6.65,4.2,0.875323,293.211
43.5,4.25,4.2,0.846011,293.809
47.7,10.9,4.2,0.895379,293.534
50.5,11.8,4.2,0.969399,292.671
53.45,6.65,4.55,0.870717,293.335
43.5,4.25,4.55,0.845445,293.82
47.7,10.9,4.55,0.810963,294.599
50.5,11.8,4.55,0.968016,292.753
43.1,6.7,4.55,0.832403,294.07
