x,y,z,HR,T
61.7,27,1.75,0.811729,296.732
61.7,14,1.75,0.598179,296.006
49.7,5.8,1.75,0.582271,296.425
43.4,7.1,1.75,0.57579,296.621
31.4,4.8,1.05,0.568904,296.9
53.45,6.65,1.05,0.596492,296.067
43.5,4.25,1.05,0.579556,296.485
31.4,4.8,1.75,0.550723,297.437
53.45,6.65,1.75,0.593555,296.148
43.5,4.25,1.75,0.578843,296.5
31.4,4.8,2.8,0.53933,297.778
53.45,6.65,2.8,0.440707,301.271
43.5,4.25,2.8,0.579527,296.489
53.45,6.65,4.2,0.54501,297.59
43.5,4.25,4.2,0.490921,299.38
47.7,10.9,4.2,0.703096,294.088
50.5,11.8,4.2,0.830415,293.491
53.45,6.65,4.55,0.548699,297.472
43.5,4.25,4.55,0.478146,299.851
47.7,10.9,4.55,0.598094,295.485
50.5,11.8,4.55,0.826332,293.706
43.1,6.7,4.55,0.557784,297.176
