x,y,z,HR,T
61.7,27,1.75,0.810548,296.794
61.7,14,1.75,0.891477,295.34
49.7,5.8,1.75,0.896565,295.299
43.4,7.1,1.75,0.894218,295.257
31.4,4.8,1.05,0.903626,295.212
53.45,6.65,1.05,0.901138,295.226
43.5,4.25,1.05,0.901699,295.238
31.4,4.8,1.75,0.9008,295.264
53.45,6.65,1.75,0.894424,295.337
43.5,4.25,1.75,0.899134,295.271
31.4,4.8,2.8,0.893578,295.391
53.45,6.65,2.8,0.880979,295.508
43.5,4.25,2.8,0.894594,295.344
53.45,6.65,4.2,0.868596,295.953
43.5,4.25,4.2,0.869728,295.841
47.7,10.9,4.2,0.894238,295.122
50.5,11.8,4.2,0.949513,293.856
53.45,6.65,4.55,0.866852,296.009
43.5,4.25,4.55,0.867012,295.848
47.7,10.9,4.55,0.872336,295.57
50.5,11.8,4.55,0.937865,294.054
43.1,6.7,4.55,0.867479,295.983
