x,y,z,HR,T
61.7,27,1.75,0.858721,289.782
61.7,14,1.75,0.744197,288.604
49.7,5.8,1.75,0.719371,288.722
43.4,7.1,1.75,0.723665,288.713
31.4,4.8,1.05,0.729282,288.482
53.45,6.65,1.05,0.725653,288.59
43.5,4.25,1.05,0.721444,288.749
31.4,4.8,1.75,0.728844,288.496
53.45,6.65,1.75,0.723362,288.638
43.5,4.25,1.75,0.701797,288.865
31.4,4.8,2.8,0.728318,288.578
53.45,6.65,2.8,0.679716,289.471
43.5,4.25,2.8,0.693104,289.04
53.45,6.65,4.2,0.779115,289.114
43.5,4.25,4.2,0.725927,289.064
47.7,10.9,4.2,0.780586,290.049
50.5,11.8,4.2,0.865127,291.644
53.45,6.65,4.55,0.763719,289.218
43.5,4.25,4.55,0.733558,289.05
47.7,10.9,4.55,0.792629,291.281
50.5,11.8,4.55,0.862399,291.887
43.1,6.7,4.55,0.740333,289.236
