x,y,z,HR,T
61.7,27,1.75,0.829635,293.81
61.7,14,1.75,0.883055,292.705
49.7,5.8,1.75,0.865716,292.773
43.4,7.1,1.75,0.861091,292.634
31.4,4.8,1.05,0.858183,292.42
53.45,6.65,1.05,0.870714,292.514
43.5,4.25,1.05,0.860982,292.481
31.4,4.8,1.75,0.854464,292.503
53.45,6.65,1.75,0.879539,292.714
43.5,4.25,1.75,0.85916,292.593
31.4,4.8,2.8,0.847344,292.68
53.45,6.65,2.8,0.869251,292.823
43.5,4.25,2.8,0.848133,292.836
53.45,6.65,4.2,0.856373,292.976
43.5,4.25,4.2,0.818309,293.408
47.7,10.9,4.2,0.880695,293.211
50.5,11.8,4.2,0.963268,292.639
53.45,6.65,4.55,0.865083,292.97
43.5,4.25,4.55,0.817863,293.417
47.7,10.9,4.55,0.789294,293.998
50.5,11.8,4.55,0.963083,292.66
43.1,6.7,4.55,0.810741,293.602
