x,y,z,HR,T
61.7,27,1.75,0.810781,296.804
61.7,14,1.75,0.884014,295.81
49.7,5.8,1.75,0.952426,295.881
43.4,7.1,1.75,0.950511,295.877
31.4,4.8,1.05,0.94495,296.043
53.45,6.65,1.05,0.957365,295.75
43.5,4.25,1.05,0.957294,295.746
31.4,4.8,1.75,0.940745,296.159
53.45,6.65,1.75,0.955399,295.796
43.5,4.25,1.75,0.952365,295.867
31.4,4.8,2.8,0.936598,296.259
53.45,6.65,2.8,0.862106,298.126
43.5,4.25,2.8,0.942277,296.104
53.45,6.65,4.2,0.887685,296.849
43.5,4.25,4.2,0.92945,296.352
47.7,10.9,4.2,0.987825,294.629
50.5,11.8,4.2,0.977491,293.661
53.45,6.65,4.55,0.894641,296.738
43.5,4.25,4.55,0.906333,297.17
47.7,10.9,4.55,0.958267,295.439
50.5,11.8,4.55,0.975014,293.74
43.1,6.7,4.55,0.914237,296.665
