x,y,z,HR,T
61.7,27,1.75,0.880532,287.802
61.7,14,1.75,0.906913,286.55
49.7,5.8,1.75,0.826435,285.889
43.4,7.1,1.75,0.82467,286.353
31.4,4.8,1.05,0.81275,286.064
53.45,6.65,1.05,0.842473,286.371
43.5,4.25,1.05,0.798781,286.045
31.4,4.8,1.75,0.812981,286.066
53.45,6.65,1.75,0.842756,286.444
43.5,4.25,1.75,0.806184,286.132
31.4,4.8,2.8,0.812794,286.075
53.45,6.65,2.8,0.866331,285.36
43.5,4.25,2.8,0.868374,286.518
53.45,6.65,4.2,0.870748,287.793
43.5,4.25,4.2,0.828543,288.861
47.7,10.9,4.2,0.762351,291.347
50.5,11.8,4.2,0.826706,291.412
53.45,6.65,4.55,0.856719,288.148
43.5,4.25,4.55,0.820856,289.01
47.7,10.9,4.55,0.755274,291.438
50.5,11.8,4.55,0.825013,291.477
43.1,6.7,4.55,0.795549,289.55
