x,y,z,HR,T
61.7,27,1.75,0.830463,293.801
61.7,14,1.75,0.884684,292.776
49.7,5.8,1.75,0.889288,292.732
43.4,7.1,1.75,0.899353,292.685
31.4,4.8,1.05,0.913518,292.477
53.45,6.65,1.05,0.897392,292.601
43.5,4.25,1.05,0.912627,292.517
31.4,4.8,1.75,0.908309,292.568
53.45,6.65,1.75,0.881074,292.82
43.5,4.25,1.75,0.906989,292.643
31.4,4.8,2.8,0.897872,292.749
53.45,6.65,2.8,0.864845,292.949
43.5,4.25,2.8,0.893268,292.93
53.45,6.65,4.2,0.861422,293.329
43.5,4.25,4.2,0.846443,293.808
47.7,10.9,4.2,0.903147,293.509
50.5,11.8,4.2,0.962,292.691
53.45,6.65,4.55,0.864124,293.4
43.5,4.25,4.55,0.84655,293.807
47.7,10.9,4.55,0.814334,294.602
50.5,11.8,4.55,0.960014,292.733
43.1,6.7,4.55,0.832432,294.079
