x,y,z,HR,T
61.7,27,1.75,0.880716,287.803
61.7,14,1.75,0.90822,286.577
49.7,5.8,1.75,0.826633,285.892
43.4,7.1,1.75,0.825555,286.357
31.4,4.8,1.05,0.812924,286.064
53.45,6.65,1.05,0.844617,286.382
43.5,4.25,1.05,0.800106,286.045
31.4,4.8,1.75,0.813536,286.07
53.45,6.65,1.75,0.844255,286.455
43.5,4.25,1.75,0.80273,286.143
31.4,4.8,2.8,0.814523,286.076
53.45,6.65,2.8,0.866261,285.359
43.5,4.25,2.8,0.844069,286.472
53.45,6.65,4.2,0.864669,287.835
43.5,4.25,4.2,0.827206,288.746
47.7,10.9,4.2,0.756419,290.874
50.5,11.8,4.2,0.830161,291.274
53.45,6.65,4.55,0.845891,288.254
43.5,4.25,4.55,0.815866,288.979
47.7,10.9,4.55,0.751224,290.979
50.5,11.8,4.55,0.828374,291.373
43.1,6.7,4.55,0.790558,289.451
