x,y,z,HR,T
61.7,27,1.75,0.862047,289.786
61.7,14,1.75,0.80123,288.874
49.7,5.8,1.75,0.772191,289.099
43.4,7.1,1.75,0.773025,289.324
31.4,4.8,1.05,0.786824,288.802
53.45,6.65,1.05,0.774533,288.907
43.5,4.25,1.05,0.773491,289.219
31.4,4.8,1.75,0.785342,288.845
53.45,6.65,1.75,0.773071,288.971
43.5,4.25,1.75,0.754738,289.108
31.4,4.8,2.8,0.777138,288.962
53.45,6.65,2.8,0.700052,289.672
43.5,4.25,2.8,0.708115,289.29
53.45,6.65,4.2,0.816883,290.951
43.5,4.25,4.2,0.74221,289.548
47.7,10.9,4.2,0.827788,292.428
50.5,11.8,4.2,0.863345,291.665
53.45,6.65,4.55,0.803699,290.989
43.5,4.25,4.55,0.798031,289.954
47.7,10.9,4.55,0.778336,293.184
50.5,11.8,4.55,0.858767,291.792
43.1,6.7,4.55,0.789836,291.409
