x,y,z,HR,T
61.7,27,1.75,0.824666,293.752
61.7,14,1.75,0.743305,292.306
49.7,5.8,1.75,0.730955,292.328
43.4,7.1,1.75,0.732594,292.388
31.4,4.8,1.05,0.756265,292.115
53.45,6.65,1.05,0.737149,292.329
43.5,4.25,1.05,0.732728,292.261
31.4,4.8,1.75,0.75592,292.121
53.45,6.65,1.75,0.739694,292.335
43.5,4.25,1.75,0.753209,292.262
31.4,4.8,2.8,0.74901,292.2
53.45,6.65,2.8,0.663897,292.141
43.5,4.25,2.8,0.758086,292.245
53.45,6.65,4.2,0.848519,292.903
43.5,4.25,4.2,0.754233,292.44
47.7,10.9,4.2,0.855788,292.713
50.5,11.8,4.2,0.975174,292.676
53.45,6.65,4.55,0.8487,292.902
43.5,4.25,4.55,0.751417,292.456
47.7,10.9,4.55,0.848708,292.833
50.5,11.8,4.55,0.972909,292.729
43.1,6.7,4.55,0.791905,292.586
