x,y,z,HR,T
61.7,27,1.75,0.826868,293.807
61.7,14,1.75,0.723587,292.633
49.7,5.8,1.75,0.689603,292.725
43.4,7.1,1.75,0.6935,292.669
31.4,4.8,1.05,0.692439,292.692
53.45,6.65,1.05,0.700267,292.598
43.5,4.25,1.05,0.670094,292.808
31.4,4.8,1.75,0.692548,292.771
53.45,6.65,1.75,0.697757,292.653
43.5,4.25,1.75,0.673256,292.77
31.4,4.8,2.8,0.690142,292.81
53.45,6.65,2.8,0.63831,293.765
43.5,4.25,2.8,0.667217,292.918
53.45,6.65,4.2,0.839013,292.934
43.5,4.25,4.2,0.666156,293.168
47.7,10.9,4.2,0.86356,292.726
50.5,11.8,4.2,0.973363,292.685
53.45,6.65,4.55,0.837895,292.936
43.5,4.25,4.55,0.659196,293.172
47.7,10.9,4.55,0.846766,292.743
50.5,11.8,4.55,0.976187,292.709
43.1,6.7,4.55,0.690727,292.798
