x,y,z,HR,T
61.7,27,1.75,0.86302,289.764
61.7,14,1.75,0.817305,289.15
49.7,5.8,1.75,0.770809,289.099
43.4,7.1,1.75,0.770671,289.441
31.4,4.8,1.05,0.75665,288.873
53.45,6.65,1.05,0.779722,288.915
43.5,4.25,1.05,0.762812,289.128
31.4,4.8,1.75,0.75331,288.945
53.45,6.65,1.75,0.777383,288.966
43.5,4.25,1.75,0.738912,289.216
31.4,4.8,2.8,0.755678,288.903
53.45,6.65,2.8,0.707421,289.685
43.5,4.25,2.8,0.707405,289.355
53.45,6.65,4.2,0.829465,290.857
43.5,4.25,4.2,0.748381,289.627
47.7,10.9,4.2,0.833634,292.444
50.5,11.8,4.2,0.85671,291.869
53.45,6.65,4.55,0.821628,291.003
43.5,4.25,4.55,0.812666,290.148
47.7,10.9,4.55,0.777935,293.09
50.5,11.8,4.55,0.852078,291.984
43.1,6.7,4.55,0.787883,291.567
