x,y,z,HR,T
61.7,27,1.75,0.826728,293.573
61.7,14,1.75,0.686825,292.19
49.7,5.8,1.75,0.680362,292.23
43.4,7.1,1.75,0.68358,292.265
31.4,4.8,1.05,0.666549,292.206
53.45,6.65,1.05,0.682709,292.218
43.5,4.25,1.05,0.675963,292.212
31.4,4.8,1.75,0.667533,292.204
53.45,6.65,1.75,0.683326,292.226
43.5,4.25,1.75,0.650625,292.191
31.4,4.8,2.8,0.670374,292.187
53.45,6.65,2.8,0.628314,292.099
43.5,4.25,2.8,0.659563,292.222
53.45,6.65,4.2,0.827017,292.801
43.5,4.25,4.2,0.723789,292.321
47.7,10.9,4.2,0.735619,292.439
50.5,11.8,4.2,0.953088,292.629
53.45,6.65,4.55,0.828087,292.798
43.5,4.25,4.55,0.737364,292.374
47.7,10.9,4.55,0.724434,292.471
50.5,11.8,4.55,0.952481,292.652
43.1,6.7,4.55,0.687222,292.51
