x,y,z,HR,T
61.7,27,1.75,0.829164,293.8
61.7,14,1.75,0.76183,292.459
49.7,5.8,1.75,0.729015,292.414
43.4,7.1,1.75,0.753902,292.551
31.4,4.8,1.05,0.723721,292.214
53.45,6.65,1.05,0.740167,292.351
43.5,4.25,1.05,0.716881,292.413
31.4,4.8,1.75,0.724366,292.243
53.45,6.65,1.75,0.742089,292.39
43.5,4.25,1.75,0.701364,292.413
31.4,4.8,2.8,0.72224,292.262
53.45,6.65,2.8,0.712338,292.262
43.5,4.25,2.8,0.695742,292.437
53.45,6.65,4.2,0.800683,293.402
43.5,4.25,4.2,0.79852,293.578
47.7,10.9,4.2,0.887229,293.405
50.5,11.8,4.2,0.964593,292.742
53.45,6.65,4.55,0.797737,293.443
43.5,4.25,4.55,0.793882,293.669
47.7,10.9,4.55,0.788179,294.515
50.5,11.8,4.55,0.963747,292.779
43.1,6.7,4.55,0.781819,293.898
