x,y,z,HR,T
61.7,27,1.75,0.812711,296.763
61.7,14,1.75,0.903742,295.903
49.7,5.8,1.75,0.93798,296.01
43.4,7.1,1.75,0.937088,296.145
31.4,4.8,1.05,0.924584,296.649
53.45,6.65,1.05,0.945544,295.961
43.5,4.25,1.05,0.943264,296.03
31.4,4.8,1.75,0.919507,296.766
53.45,6.65,1.75,0.945256,295.963
43.5,4.25,1.75,0.941696,296.058
31.4,4.8,2.8,0.92145,296.737
53.45,6.65,2.8,0.836219,298.698
43.5,4.25,2.8,0.932328,296.469
53.45,6.65,4.2,0.919309,296.496
43.5,4.25,4.2,0.882246,297.855
47.7,10.9,4.2,1.01444,294.057
50.5,11.8,4.2,1.01605,293.532
53.45,6.65,4.55,0.921223,296.481
43.5,4.25,4.55,0.883087,297.912
47.7,10.9,4.55,0.938381,295.584
50.5,11.8,4.55,1.00822,293.764
43.1,6.7,4.55,0.934306,296.204
