x,y,z,HR,T
61.7,27,1.75,0.80898,296.809
61.7,14,1.75,0.842612,295.834
49.7,5.8,1.75,0.812703,295.834
43.4,7.1,1.75,0.813606,295.755
31.4,4.8,1.05,0.813217,295.522
53.45,6.65,1.05,0.820264,295.59
43.5,4.25,1.05,0.813984,295.572
31.4,4.8,1.75,0.808199,295.638
53.45,6.65,1.75,0.824027,295.77
43.5,4.25,1.75,0.806919,295.731
31.4,4.8,2.8,0.80119,295.807
53.45,6.65,2.8,0.822229,296.031
43.5,4.25,2.8,0.79726,295.958
53.45,6.65,4.2,0.782685,296.434
43.5,4.25,4.2,0.753859,296.808
47.7,10.9,4.2,0.790815,296.137
50.5,11.8,4.2,0.930851,293.867
53.45,6.65,4.55,0.774318,296.584
43.5,4.25,4.55,0.744603,297.015
47.7,10.9,4.55,0.69854,298.099
50.5,11.8,4.55,0.915743,294.144
43.1,6.7,4.55,0.727992,297.411
