x,y,z,HR,T
61.7,27,1.75,0.811318,296.789
61.7,14,1.75,0.860004,296.104
49.7,5.8,1.75,0.941737,296.038
43.4,7.1,1.75,0.935801,296.082
31.4,4.8,1.05,0.936839,296.175
53.45,6.65,1.05,0.952358,295.823
43.5,4.25,1.05,0.947285,295.932
31.4,4.8,1.75,0.930746,296.327
53.45,6.65,1.75,0.948268,295.898
43.5,4.25,1.75,0.936932,296.135
31.4,4.8,2.8,0.924565,296.455
53.45,6.65,2.8,0.858697,298.116
43.5,4.25,2.8,0.924257,296.368
53.45,6.65,4.2,0.877329,297.157
43.5,4.25,4.2,0.921847,296.405
47.7,10.9,4.2,0.944794,295.277
50.5,11.8,4.2,0.984683,293.808
53.45,6.65,4.55,0.885532,296.999
43.5,4.25,4.55,0.900757,297.244
47.7,10.9,4.55,0.845856,297.525
50.5,11.8,4.55,0.96568,294.074
43.1,6.7,4.55,0.903749,296.773
