x,y,z,HR,T
61.7,27,1.75,0.881155,287.803
61.7,14,1.75,0.802401,286.415
49.7,5.8,1.75,0.785324,286.194
43.4,7.1,1.75,0.789452,286.534
31.4,4.8,1.05,0.772772,286.082
53.45,6.65,1.05,0.785806,286.356
43.5,4.25,1.05,0.776167,286.056
31.4,4.8,1.75,0.774367,286.078
53.45,6.65,1.75,0.785548,286.367
43.5,4.25,1.75,0.763019,285.888
31.4,4.8,2.8,0.768173,286.061
53.45,6.65,2.8,0.813892,285.011
43.5,4.25,2.8,0.746336,285.856
53.45,6.65,4.2,0.830966,288.453
43.5,4.25,4.2,0.811585,289.109
47.7,10.9,4.2,0.785905,291.658
50.5,11.8,4.2,0.790513,291.785
53.45,6.65,4.55,0.81973,288.768
43.5,4.25,4.55,0.803805,289.29
47.7,10.9,4.55,0.737084,291.802
50.5,11.8,4.55,0.785557,291.836
43.1,6.7,4.55,0.771398,289.827
