x,y,z,HR,T
61.7,27,1.75,0.829054,293.788
61.7,14,1.75,0.761758,292.46
49.7,5.8,1.75,0.729345,292.41
43.4,7.1,1.75,0.753346,292.546
31.4,4.8,1.05,0.72603,292.186
53.45,6.65,1.05,0.74032,292.346
43.5,4.25,1.05,0.717153,292.413
31.4,4.8,1.75,0.726644,292.205
53.45,6.65,1.75,0.742258,292.384
43.5,4.25,1.75,0.701825,292.414
31.4,4.8,2.8,0.722813,292.267
53.45,6.65,2.8,0.716816,292.271
43.5,4.25,2.8,0.697284,292.439
53.45,6.65,4.2,0.807187,293.375
43.5,4.25,4.2,0.800127,293.555
47.7,10.9,4.2,0.882897,293.452
50.5,11.8,4.2,0.959061,292.766
53.45,6.65,4.55,0.80018,293.448
43.5,4.25,4.55,0.797414,293.626
47.7,10.9,4.55,0.789303,294.53
50.5,11.8,4.55,0.958831,292.776
43.1,6.7,4.55,0.783373,293.915
