x,y,z,HR,T
61.7,27,1.75,0.860584,289.813
61.7,14,1.75,0.932016,289.055
49.7,5.8,1.75,0.919554,288.924
43.4,7.1,1.75,0.941543,288.877
31.4,4.8,1.05,0.959991,288.625
53.45,6.65,1.05,0.931646,288.754
43.5,4.25,1.05,0.956517,288.684
31.4,4.8,1.75,0.951032,288.778
53.45,6.65,1.75,0.907636,288.996
43.5,4.25,1.75,0.946123,288.85
31.4,4.8,2.8,0.935664,289.061
53.45,6.65,2.8,0.852067,289.292
43.5,4.25,2.8,0.925242,289.23
53.45,6.65,4.2,0.89129,289.83
43.5,4.25,4.2,0.848829,291.07
47.7,10.9,4.2,0.825422,292.387
50.5,11.8,4.2,0.872759,291.638
53.45,6.65,4.55,0.87348,290.249
43.5,4.25,4.55,0.844925,291.1
47.7,10.9,4.55,0.814855,292.622
50.5,11.8,4.55,0.869717,291.736
43.1,6.7,4.55,0.827937,291.705
