x,y,z,HR,T
61.7,27,1.75,0.827616,293.807
61.7,14,1.75,0.74163,292.706
49.7,5.8,1.75,0.662991,292.71
43.4,7.1,1.75,0.659072,292.81
31.4,4.8,1.05,0.659694,292.948
53.45,6.65,1.05,0.668061,292.631
43.5,4.25,1.05,0.64784,292.914
31.4,4.8,1.75,0.659751,292.939
53.45,6.65,1.75,0.666502,292.681
43.5,4.25,1.75,0.654309,292.832
31.4,4.8,2.8,0.662415,292.809
53.45,6.65,2.8,0.604919,293.875
43.5,4.25,2.8,0.640395,293.112
53.45,6.65,4.2,0.712153,293.083
43.5,4.25,4.2,0.640062,293.218
47.7,10.9,4.2,0.819346,292.929
50.5,11.8,4.2,0.9714,292.642
53.45,6.65,4.55,0.686092,293.199
43.5,4.25,4.55,0.635362,293.258
47.7,10.9,4.55,0.808176,292.993
50.5,11.8,4.55,0.971101,292.698
43.1,6.7,4.55,0.652742,293.289
