x,y,z,HR,T
61.7,27,1.75,0.863519,289.717
61.7,14,1.75,0.875687,288.448
49.7,5.8,1.75,0.863612,288.415
43.4,7.1,1.75,0.868843,288.51
31.4,4.8,1.05,0.888578,288.17
53.45,6.65,1.05,0.869066,288.432
43.5,4.25,1.05,0.867913,288.422
31.4,4.8,1.75,0.884672,288.211
53.45,6.65,1.75,0.869398,288.438
43.5,4.25,1.75,0.868949,288.477
31.4,4.8,2.8,0.879489,288.261
53.45,6.65,2.8,0.859626,288.239
43.5,4.25,2.8,0.881428,288.366
53.45,6.65,4.2,0.881433,289.14
43.5,4.25,4.2,0.865994,288.667
47.7,10.9,4.2,0.868164,289.377
50.5,11.8,4.2,0.886458,291.528
53.45,6.65,4.55,0.878786,289.193
43.5,4.25,4.55,0.868387,288.623
47.7,10.9,4.55,0.852576,290.557
50.5,11.8,4.55,0.884305,291.694
43.1,6.7,4.55,0.859178,289.319
