x,y,z,HR,T
61.7,27,1.75,0.810627,296.804
61.7,14,1.75,0.878683,295.825
49.7,5.8,1.75,0.951372,295.895
43.4,7.1,1.75,0.949458,295.879
31.4,4.8,1.05,0.944941,296.038
53.45,6.65,1.05,0.957692,295.744
43.5,4.25,1.05,0.957064,295.75
31.4,4.8,1.75,0.94056,296.157
53.45,6.65,1.75,0.955153,295.799
43.5,4.25,1.75,0.952222,295.865
31.4,4.8,2.8,0.937197,296.254
53.45,6.65,2.8,0.853859,298.265
43.5,4.25,2.8,0.943505,296.085
53.45,6.65,4.2,0.903106,296.656
43.5,4.25,4.2,0.93735,296.188
47.7,10.9,4.2,0.984442,294.663
50.5,11.8,4.2,0.981,293.567
53.45,6.65,4.55,0.903192,296.66
43.5,4.25,4.55,0.910597,297.1
47.7,10.9,4.55,0.953818,295.56
50.5,11.8,4.55,0.957843,293.84
43.1,6.7,4.55,0.914337,296.658
