x,y,z,HR,T
61.7,27,1.75,0.877498,287.678
61.7,14,1.75,0.784535,286.001
49.7,5.8,1.75,0.784269,285.839
43.4,7.1,1.75,0.788517,286.061
31.4,4.8,1.05,0.774302,285.786
53.45,6.65,1.05,0.784574,285.972
43.5,4.25,1.05,0.774815,285.723
31.4,4.8,1.75,0.771439,285.799
53.45,6.65,1.75,0.785076,285.982
43.5,4.25,1.75,0.757681,285.534
31.4,4.8,2.8,0.770126,285.809
53.45,6.65,2.8,0.777078,284.755
43.5,4.25,2.8,0.78228,285.694
53.45,6.65,4.2,0.885056,287.047
43.5,4.25,4.2,0.821709,285.961
47.7,10.9,4.2,0.789301,287.275
50.5,11.8,4.2,0.835144,291.156
53.45,6.65,4.55,0.875811,287.155
43.5,4.25,4.55,0.837963,286.282
47.7,10.9,4.55,0.784369,289.248
50.5,11.8,4.55,0.830132,291.367
43.1,6.7,4.55,0.792115,287.161
