x,y,z,HR,T
61.7,27,1.75,0.879,287.711
61.7,14,1.75,0.824874,285.496
49.7,5.8,1.75,0.84778,284.843
43.4,7.1,1.75,0.823744,285.273
31.4,4.8,1.05,0.827134,285.023
53.45,6.65,1.05,0.830417,285.394
43.5,4.25,1.05,0.825412,284.507
31.4,4.8,1.75,0.824672,285.07
53.45,6.65,1.75,0.830715,285.402
43.5,4.25,1.75,0.852223,284.565
31.4,4.8,2.8,0.813092,285.243
53.45,6.65,2.8,0.92634,282.821
43.5,4.25,2.8,0.839141,285.34
53.45,6.65,4.2,0.907503,286.93
43.5,4.25,4.2,0.8225,285.775
47.7,10.9,4.2,0.825089,287.149
50.5,11.8,4.2,0.829043,291.195
53.45,6.65,4.55,0.889575,287.192
43.5,4.25,4.55,0.836573,285.569
47.7,10.9,4.55,0.783122,289.837
50.5,11.8,4.55,0.825023,291.427
43.1,6.7,4.55,0.80468,287.195
