x,y,z,HR,T
61.7,27,1.75,0.831051,293.76
61.7,14,1.75,0.716332,292.426
49.7,5.8,1.75,0.711235,292.439
43.4,7.1,1.75,0.716618,292.566
31.4,4.8,1.05,0.690237,292.333
53.45,6.65,1.05,0.709402,292.397
43.5,4.25,1.05,0.704792,292.438
31.4,4.8,1.75,0.689896,292.36
53.45,6.65,1.75,0.710412,292.42
43.5,4.25,1.75,0.67653,292.379
31.4,4.8,2.8,0.692245,292.359
53.45,6.65,2.8,0.658768,292.192
43.5,4.25,2.8,0.650223,292.357
53.45,6.65,4.2,0.789894,293.391
43.5,4.25,4.2,0.727442,292.654
47.7,10.9,4.2,0.895526,293.201
50.5,11.8,4.2,0.925539,292.832
53.45,6.65,4.55,0.788748,293.41
43.5,4.25,4.55,0.775825,292.956
47.7,10.9,4.55,0.804278,294.399
50.5,11.8,4.55,0.922111,292.839
43.1,6.7,4.55,0.757196,293.575
