x,y,z,HR,T
61.7,27,1.75,0.877661,287.794
61.7,14,1.75,0.788777,286.785
49.7,5.8,1.75,0.628496,286.672
43.4,7.1,1.75,0.623101,286.811
31.4,4.8,1.05,0.654019,286.591
53.45,6.65,1.05,0.640141,286.577
43.5,4.25,1.05,0.606195,286.833
31.4,4.8,1.75,0.651735,286.66
53.45,6.65,1.75,0.6369,286.607
43.5,4.25,1.75,0.565894,287.025
31.4,4.8,2.8,0.653479,286.682
53.45,6.65,2.8,0.541536,287.474
43.5,4.25,2.8,0.601688,287.119
53.45,6.65,4.2,0.773224,287.284
43.5,4.25,4.2,0.628585,287.226
47.7,10.9,4.2,0.691569,288.329
50.5,11.8,4.2,0.832039,291.274
53.45,6.65,4.55,0.754485,287.473
43.5,4.25,4.55,0.580172,287.172
47.7,10.9,4.55,0.715955,290.278
50.5,11.8,4.55,0.827328,291.369
43.1,6.7,4.55,0.689992,287.789
