x,y,z,HR,T
61.7,27,1.75,0.879702,287.785
61.7,14,1.75,0.847692,286.188
49.7,5.8,1.75,0.832481,285.695
43.4,7.1,1.75,0.844417,286.135
31.4,4.8,1.05,0.815007,285.929
53.45,6.65,1.05,0.850913,286.056
43.5,4.25,1.05,0.823045,285.971
31.4,4.8,1.75,0.814598,285.931
53.45,6.65,1.75,0.852312,286.049
43.5,4.25,1.75,0.824325,286.026
31.4,4.8,2.8,0.81108,285.945
53.45,6.65,2.8,0.862989,285.201
43.5,4.25,2.8,0.848023,286.196
53.45,6.65,4.2,0.903371,287.263
43.5,4.25,4.2,0.881942,287.265
47.7,10.9,4.2,0.821423,287.751
50.5,11.8,4.2,0.839113,291.247
53.45,6.65,4.55,0.893507,287.423
43.5,4.25,4.55,0.862984,287.689
47.7,10.9,4.55,0.79959,289.829
50.5,11.8,4.55,0.832573,291.407
43.1,6.7,4.55,0.819036,288.184
