x,y,z,HR,T
61.7,27,1.75,0.861425,289.795
61.7,14,1.75,0.866198,288.913
49.7,5.8,1.75,0.797226,288.867
43.4,7.1,1.75,0.805495,289.002
31.4,4.8,1.05,0.802884,288.871
53.45,6.65,1.05,0.814642,288.699
43.5,4.25,1.05,0.804878,288.8
31.4,4.8,1.75,0.793866,288.961
53.45,6.65,1.75,0.812213,288.757
43.5,4.25,1.75,0.785657,288.904
31.4,4.8,2.8,0.788796,289.087
53.45,6.65,2.8,0.731423,289.522
43.5,4.25,2.8,0.741555,289.147
53.45,6.65,4.2,0.850964,290.057
43.5,4.25,4.2,0.810624,289.684
47.7,10.9,4.2,0.808501,292.243
50.5,11.8,4.2,0.867641,291.708
53.45,6.65,4.55,0.839752,290.511
43.5,4.25,4.55,0.836008,290.299
47.7,10.9,4.55,0.793515,292.608
50.5,11.8,4.55,0.866868,291.778
43.1,6.7,4.55,0.810357,291.15
