x,y,z,HR,T
61.7,27,1.75,0.831631,293.772
61.7,14,1.75,0.888454,292.493
49.7,5.8,1.75,0.878173,292.628
43.4,7.1,1.75,0.875959,292.677
31.4,4.8,1.05,0.890378,292.406
53.45,6.65,1.05,0.88414,292.521
43.5,4.25,1.05,0.876446,292.666
31.4,4.8,1.75,0.888824,292.434
53.45,6.65,1.75,0.882684,292.547
43.5,4.25,1.75,0.867202,292.812
31.4,4.8,2.8,0.88695,292.469
53.45,6.65,2.8,0.833294,293.462
43.5,4.25,2.8,0.858019,292.979
53.45,6.65,4.2,0.877273,292.841
43.5,4.25,4.2,0.861298,292.968
47.7,10.9,4.2,0.93306,292.652
50.5,11.8,4.2,0.971376,292.684
53.45,6.65,4.55,0.877392,292.841
43.5,4.25,4.55,0.864296,292.923
47.7,10.9,4.55,0.929018,292.707
50.5,11.8,4.55,0.973374,292.535
43.1,6.7,4.55,0.862791,293
