x,y,z,HR,T
61.7,27,1.75,0.831782,293.779
61.7,14,1.75,0.918914,292.791
49.7,5.8,1.75,0.910769,292.708
43.4,7.1,1.75,0.90709,292.891
31.4,4.8,1.05,0.915274,292.586
53.45,6.65,1.05,0.90981,292.699
43.5,4.25,1.05,0.904442,292.857
31.4,4.8,1.75,0.914233,292.602
53.45,6.65,1.75,0.908739,292.725
43.5,4.25,1.75,0.895255,292.881
31.4,4.8,2.8,0.909887,292.671
53.45,6.65,2.8,0.854184,293.444
43.5,4.25,2.8,0.873315,293.076
53.45,6.65,4.2,0.901657,293.52
43.5,4.25,4.2,0.884347,293.18
47.7,10.9,4.2,0.948445,293.266
50.5,11.8,4.2,0.967261,292.852
53.45,6.65,4.55,0.897336,293.609
43.5,4.25,4.55,0.885604,293.193
47.7,10.9,4.55,0.870783,294.718
50.5,11.8,4.55,0.967233,292.743
43.1,6.7,4.55,0.885864,293.892
