x,y,z,HR,T
61.7,27,1.75,0.862402,289.777
61.7,14,1.75,0.881414,288.919
49.7,5.8,1.75,0.801621,288.864
43.4,7.1,1.75,0.808866,289.008
31.4,4.8,1.05,0.812835,288.838
53.45,6.65,1.05,0.819381,288.7
43.5,4.25,1.05,0.810167,288.797
31.4,4.8,1.75,0.802667,288.938
53.45,6.65,1.75,0.817137,288.755
43.5,4.25,1.75,0.792001,288.893
31.4,4.8,2.8,0.79727,289.065
53.45,6.65,2.8,0.736118,289.526
43.5,4.25,2.8,0.744749,289.142
53.45,6.65,4.2,0.861975,290.035
43.5,4.25,4.2,0.830315,289.794
47.7,10.9,4.2,0.810656,292.255
50.5,11.8,4.2,0.869162,291.637
53.45,6.65,4.55,0.844819,290.515
43.5,4.25,4.55,0.838604,290.272
47.7,10.9,4.55,0.795845,292.619
50.5,11.8,4.55,0.868011,291.759
43.1,6.7,4.55,0.808638,291.172
