x,y,z,HR,T
61.7,27,1.75,0.812782,296.773
61.7,14,1.75,0.936456,296.176
49.7,5.8,1.75,0.947806,295.897
43.4,7.1,1.75,0.931726,296.445
31.4,4.8,1.05,0.926187,296.661
53.45,6.65,1.05,0.947307,295.988
43.5,4.25,1.05,0.935562,296.361
31.4,4.8,1.75,0.921506,296.788
53.45,6.65,1.75,0.944348,296.063
43.5,4.25,1.75,0.936759,296.356
31.4,4.8,2.8,0.921111,296.743
53.45,6.65,2.8,0.820456,299.091
43.5,4.25,2.8,0.926555,296.607
53.45,6.65,4.2,0.925811,296.447
43.5,4.25,4.2,0.880347,298.039
47.7,10.9,4.2,1.00321,294.366
50.5,11.8,4.2,0.988027,293.52
53.45,6.65,4.55,0.926099,296.426
43.5,4.25,4.55,0.879643,298.081
47.7,10.9,4.55,0.98602,294.836
50.5,11.8,4.55,0.987383,293.614
43.1,6.7,4.55,0.924835,296.537
