x,y,z,HR,T
61.7,27,1.75,0.826504,293.771
61.7,14,1.75,0.742634,292.303
49.7,5.8,1.75,0.733516,292.308
43.4,7.1,1.75,0.761523,292.325
31.4,4.8,1.05,0.713578,292.22
53.45,6.65,1.05,0.747986,292.322
43.5,4.25,1.05,0.6923,292.263
31.4,4.8,1.75,0.716123,292.192
53.45,6.65,1.75,0.749218,292.327
43.5,4.25,1.75,0.697625,292.267
31.4,4.8,2.8,0.727766,292.15
53.45,6.65,2.8,0.666573,292.141
43.5,4.25,2.8,0.726213,292.231
53.45,6.65,4.2,0.848727,292.907
43.5,4.25,4.2,0.736241,292.39
47.7,10.9,4.2,0.839241,292.716
50.5,11.8,4.2,0.977277,292.659
53.45,6.65,4.55,0.848657,292.907
43.5,4.25,4.55,0.776014,292.496
47.7,10.9,4.55,0.843021,292.84
50.5,11.8,4.55,0.976526,292.707
43.1,6.7,4.55,0.77641,292.614
