x,y,z,HR,T
61.7,27,1.75,0.879378,287.786
61.7,14,1.75,0.848423,286.19
49.7,5.8,1.75,0.832091,285.692
43.4,7.1,1.75,0.845371,286.13
31.4,4.8,1.05,0.8155,285.928
53.45,6.65,1.05,0.849507,286.06
43.5,4.25,1.05,0.823728,285.95
31.4,4.8,1.75,0.814613,285.93
53.45,6.65,1.75,0.850931,286.053
43.5,4.25,1.75,0.824161,286.023
31.4,4.8,2.8,0.811726,285.944
53.45,6.65,2.8,0.862811,285.197
43.5,4.25,2.8,0.85856,286.21
53.45,6.65,4.2,0.903131,287.26
43.5,4.25,4.2,0.872102,287.477
47.7,10.9,4.2,0.823468,287.8
50.5,11.8,4.2,0.835781,291.21
53.45,6.65,4.55,0.893079,287.423
43.5,4.25,4.55,0.857091,287.796
47.7,10.9,4.55,0.799469,289.885
50.5,11.8,4.55,0.834452,291.349
43.1,6.7,4.55,0.820013,288.118
