x,y,z,HR,T
61.7,27,1.75,0.829065,293.799
61.7,14,1.75,0.76037,292.452
49.7,5.8,1.75,0.728585,292.407
43.4,7.1,1.75,0.753629,292.545
31.4,4.8,1.05,0.724494,292.198
53.45,6.65,1.05,0.739005,292.347
43.5,4.25,1.05,0.716611,292.41
31.4,4.8,1.75,0.723451,292.237
53.45,6.65,1.75,0.741187,292.379
43.5,4.25,1.75,0.701321,292.411
31.4,4.8,2.8,0.722464,292.266
53.45,6.65,2.8,0.714911,292.266
43.5,4.25,2.8,0.696508,292.437
53.45,6.65,4.2,0.799631,293.417
43.5,4.25,4.2,0.798113,293.592
47.7,10.9,4.2,0.882639,293.419
50.5,11.8,4.2,0.960911,292.636
53.45,6.65,4.55,0.797868,293.444
43.5,4.25,4.55,0.794182,293.671
47.7,10.9,4.55,0.78934,294.511
50.5,11.8,4.55,0.957737,292.705
43.1,6.7,4.55,0.78171,293.896
