x,y,z,HR,T
61.7,27,1.75,0.821361,296.649
61.7,14,1.75,0.922684,295.898
49.7,5.8,1.75,0.941632,296.056
43.4,7.1,1.75,0.935704,296.185
31.4,4.8,1.05,0.929304,296.551
53.45,6.65,1.05,0.945196,295.959
43.5,4.25,1.05,0.930206,296.498
31.4,4.8,1.75,0.925452,296.654
53.45,6.65,1.75,0.94069,296.047
43.5,4.25,1.75,0.926514,296.568
31.4,4.8,2.8,0.924116,296.665
53.45,6.65,2.8,0.824276,298.945
43.5,4.25,2.8,0.911338,296.978
53.45,6.65,4.2,0.917417,296.498
43.5,4.25,4.2,0.880224,297.855
47.7,10.9,4.2,0.99871,294.398
50.5,11.8,4.2,1.01783,293.469
53.45,6.65,4.55,0.918646,296.488
43.5,4.25,4.55,0.882363,297.89
47.7,10.9,4.55,0.941657,295.497
50.5,11.8,4.55,1.00683,293.663
43.1,6.7,4.55,0.929097,296.423
