x,y,z,HR,T
61.7,27,1.75,0.813077,296.767
61.7,14,1.75,0.858723,296.092
49.7,5.8,1.75,0.941585,296.039
43.4,7.1,1.75,0.935666,296.08
31.4,4.8,1.05,0.937113,296.173
53.45,6.65,1.05,0.951731,295.835
43.5,4.25,1.05,0.947881,295.92
31.4,4.8,1.75,0.930954,296.326
53.45,6.65,1.75,0.94776,295.906
43.5,4.25,1.75,0.937369,296.127
31.4,4.8,2.8,0.924496,296.461
53.45,6.65,2.8,0.85911,298.117
43.5,4.25,2.8,0.924203,296.37
53.45,6.65,4.2,0.878605,297.14
43.5,4.25,4.2,0.925588,296.328
47.7,10.9,4.2,0.944267,295.361
50.5,11.8,4.2,0.980908,293.79
53.45,6.65,4.55,0.887159,296.972
43.5,4.25,4.55,0.904063,297.197
47.7,10.9,4.55,0.847207,297.503
50.5,11.8,4.55,0.961495,294.086
43.1,6.7,4.55,0.903874,296.763
