x,y,z,HR,T
61.7,27,1.75,0.810639,296.789
61.7,14,1.75,0.860902,295.604
49.7,5.8,1.75,0.833555,295.618
43.4,7.1,1.75,0.847591,295.736
31.4,4.8,1.05,0.847243,295.279
53.45,6.65,1.05,0.842513,295.475
43.5,4.25,1.05,0.827142,295.626
31.4,4.8,1.75,0.840555,295.379
53.45,6.65,1.75,0.843353,295.498
43.5,4.25,1.75,0.814629,295.685
31.4,4.8,2.8,0.829795,295.579
53.45,6.65,2.8,0.796305,295.878
43.5,4.25,2.8,0.795847,295.742
53.45,6.65,4.2,0.887154,296.33
43.5,4.25,4.2,0.859104,296.05
47.7,10.9,4.2,0.920139,295.949
50.5,11.8,4.2,1.00075,293.807
53.45,6.65,4.55,0.881132,296.507
43.5,4.25,4.55,0.872203,296.465
47.7,10.9,4.55,0.832151,297.995
50.5,11.8,4.55,0.975726,294.124
43.1,6.7,4.55,0.851688,296.997
