x,y,z,HR,T
61.7,27,1.75,0.810953,296.795
61.7,14,1.75,0.867954,296.071
49.7,5.8,1.75,0.941566,296.039
43.4,7.1,1.75,0.936038,296.077
31.4,4.8,1.05,0.936644,296.183
53.45,6.65,1.05,0.951854,295.833
43.5,4.25,1.05,0.947742,295.923
31.4,4.8,1.75,0.930835,296.33
53.45,6.65,1.75,0.947971,295.904
43.5,4.25,1.75,0.937377,296.127
31.4,4.8,2.8,0.92428,296.467
53.45,6.65,2.8,0.858898,298.121
43.5,4.25,2.8,0.924068,296.372
53.45,6.65,4.2,0.879064,297.124
43.5,4.25,4.2,0.928866,296.249
47.7,10.9,4.2,0.939177,295.5
50.5,11.8,4.2,0.991945,293.748
53.45,6.65,4.55,0.886514,296.978
43.5,4.25,4.55,0.902541,297.196
47.7,10.9,4.55,0.844771,297.543
50.5,11.8,4.55,0.972989,294.034
43.1,6.7,4.55,0.903884,296.759
