x,y,z,HR,T
61.7,27,1.75,0.830912,293.754
61.7,14,1.75,0.716649,292.427
49.7,5.8,1.75,0.711958,292.442
43.4,7.1,1.75,0.716862,292.564
31.4,4.8,1.05,0.690461,292.318
53.45,6.65,1.05,0.71021,292.395
43.5,4.25,1.05,0.705521,292.435
31.4,4.8,1.75,0.690162,292.344
53.45,6.65,1.75,0.711422,292.418
43.5,4.25,1.75,0.677368,292.377
31.4,4.8,2.8,0.691285,292.344
53.45,6.65,2.8,0.660542,292.2
43.5,4.25,2.8,0.651218,292.357
53.45,6.65,4.2,0.790968,293.392
43.5,4.25,4.2,0.727651,292.671
47.7,10.9,4.2,0.895713,293.191
50.5,11.8,4.2,0.928023,292.827
53.45,6.65,4.55,0.790618,293.412
43.5,4.25,4.55,0.765996,292.956
47.7,10.9,4.55,0.808707,294.346
50.5,11.8,4.55,0.924988,292.826
43.1,6.7,4.55,0.754218,293.349
