x,y,z,HR,T
61.7,27,1.75,0.859513,289.805
61.7,14,1.75,0.81737,288.66
49.7,5.8,1.75,0.780468,288.67
43.4,7.1,1.75,0.773257,288.793
31.4,4.8,1.05,0.800227,288.545
53.45,6.65,1.05,0.790963,288.545
43.5,4.25,1.05,0.744432,288.865
31.4,4.8,1.75,0.797713,288.621
53.45,6.65,1.75,0.787859,288.583
43.5,4.25,1.75,0.751749,288.88
31.4,4.8,2.8,0.801536,288.631
53.45,6.65,2.8,0.712603,289.451
43.5,4.25,2.8,0.766365,288.711
53.45,6.65,4.2,0.861382,289.141
43.5,4.25,4.2,0.781626,289.012
47.7,10.9,4.2,0.81735,290.062
50.5,11.8,4.2,0.879734,291.736
53.45,6.65,4.55,0.849884,289.286
43.5,4.25,4.55,0.767897,289.073
47.7,10.9,4.55,0.818119,291.225
50.5,11.8,4.55,0.874894,291.856
43.1,6.7,4.55,0.795211,289.75
