x,y,z,HR,T
61.7,27,1.75,0.610562,296.591
61.7,14,1.75,0.589278,296.958
49.7,5.8,1.75,0.618544,296.412
43.4,7.1,1.75,0.571848,297.402
31.4,4.8,1.05,0.562438,297.663
53.45,6.65,1.05,0.612778,296.544
43.5,4.25,1.05,0.586572,296.987
31.4,4.8,1.75,0.53971,298.354
53.45,6.65,1.75,0.599468,296.892
43.5,4.25,1.75,0.580151,297.161
31.4,4.8,2.8,0.544538,298.199
53.45,6.65,2.8,0.428848,302.367
43.5,4.25,2.8,0.569616,297.468
53.45,6.65,4.2,0.529642,298.778
43.5,4.25,4.2,0.486532,300.112
47.7,10.9,4.2,0.73263,294.873
50.5,11.8,4.2,0.941367,293.534
53.45,6.65,4.55,0.538962,298.484
43.5,4.25,4.55,0.472565,300.511
47.7,10.9,4.55,0.666644,295.823
50.5,11.8,4.55,0.915441,293.674
43.1,6.7,4.55,0.55712,297.846
