x,y,z,HR,T
61.7,27,1.75,0.812735,296.764
61.7,14,1.75,0.922161,295.897
49.7,5.8,1.75,0.944651,295.982
43.4,7.1,1.75,0.939786,296.121
31.4,4.8,1.05,0.923002,296.661
53.45,6.65,1.05,0.94624,295.898
43.5,4.25,1.05,0.94181,296.093
31.4,4.8,1.75,0.919455,296.741
53.45,6.65,1.75,0.943405,295.957
43.5,4.25,1.75,0.940513,296.103
31.4,4.8,2.8,0.92248,296.697
53.45,6.65,2.8,0.832298,298.753
43.5,4.25,2.8,0.935784,296.203
53.45,6.65,4.2,0.920204,296.537
43.5,4.25,4.2,0.883517,297.856
47.7,10.9,4.2,1.00068,294.376
50.5,11.8,4.2,1.02959,293.464
53.45,6.65,4.55,0.922306,296.503
43.5,4.25,4.55,0.884205,297.898
47.7,10.9,4.55,0.954932,295.281
50.5,11.8,4.55,1.01812,293.687
43.1,6.7,4.55,0.929545,296.383
