x,y,z,HR,T
61.7,27,1.75,0.881003,287.795
61.7,14,1.75,0.895792,286.547
49.7,5.8,1.75,0.825716,285.889
43.4,7.1,1.75,0.825176,286.356
31.4,4.8,1.05,0.813217,286.062
53.45,6.65,1.05,0.844207,286.38
43.5,4.25,1.05,0.800748,286.043
31.4,4.8,1.75,0.813401,286.067
53.45,6.65,1.75,0.843655,286.449
43.5,4.25,1.75,0.805925,286.096
31.4,4.8,2.8,0.813556,286.074
53.45,6.65,2.8,0.867402,285.361
43.5,4.25,2.8,0.84099,286.379
53.45,6.65,4.2,0.869654,287.839
43.5,4.25,4.2,0.830656,288.744
47.7,10.9,4.2,0.767406,291.085
50.5,11.8,4.2,0.827692,291.303
53.45,6.65,4.55,0.849279,288.286
43.5,4.25,4.55,0.818951,288.971
47.7,10.9,4.55,0.756731,291.04
50.5,11.8,4.55,0.824383,291.429
43.1,6.7,4.55,0.793533,289.395
